scene,listener,sii
S06186,L0064,0.29671248155862606
S06186,L0078,0.29079387836285514
S06186,L0019,0.2934919790733716
S06187,L0010,0.29589626465334495
S06187,L0096,0.3130963577072701
S06187,L0074,0.4943065287292412
S06188,L0096,0.37262606254393904
S06188,L0098,0.5621840499209588
S06188,L0057,0.44199670279738673
S06189,L0021,0.30571990210995387
S06189,L0097,0.39392909663329456
S06189,L0049,0.2813132495331811
S06190,L0022,0.39416201339622003
S06190,L0064,0.31575946323696347
S06190,L0049,0.27230572074597725
S06191,L0021,0.3697705666243984
S06191,L0083,0.5125175957203426
S06191,L0032,0.48062381341441135
S06192,L0005,0.33202190438285917
S06192,L0065,0.3685312209534704
S06192,L0071,0.364334140326713
S06193,L0062,0.44323949521356126
S06193,L0032,0.5382325550429037
S06193,L0073,0.4822290002300919
S06194,L0059,0.43061274786356907
S06194,L0098,0.6583167182225866
S06194,L0012,0.4349025077545539
S06195,L0008,0.5773114526610745
S06195,L0078,0.652393705418223
S06195,L0042,0.5324694793759694
S06196,L0004,0.4918558728956774
S06196,L0083,0.5861456414115875
S06196,L0090,0.47457284710188785
S06197,L0091,0.3774209493512481
S06197,L0036,0.07728525057443003
S06197,L0039,0.046436926745114876
S06198,L0014,0.3154974853336658
S06198,L0098,0.46371817617679734
S06198,L0081,0.34194374083654605
S06199,L0084,0.2671787441191232
S06199,L0068,0.3786750539421075
S06199,L0081,0.3792075952550095
S06200,L0053,0.3710150336608976
S06200,L0019,0.39269234978695294
S06200,L0024,0.4508771342220941
S06201,L0069,0.631372526924825
S06201,L0090,0.5363119425458268
S06201,L0013,0.5909791375031959
S06202,L0017,0.3641058036008682
S06202,L0068,0.5226794579799108
S06202,L0011,0.5116052671835138
S06203,L0015,0.357993431530479
S06203,L0068,0.38725905673796546
S06203,L0026,0.44741301421699825
S06204,L0004,0.3537406161989814
S06204,L0072,0.289622192516126
S06204,L0070,0.3616772497686909
S06205,L0068,0.5142184322939527
S06205,L0004,0.4513679805158402
S06205,L0080,0.4795454566560633
S06206,L0055,0.38306238490240935
S06206,L0042,0.31979386349388383
S06206,L0013,0.41996011771419095
S06207,L0059,0.4267627146701279
S06207,L0012,0.49654577433793023
S06207,L0021,0.44384617235014506
S06208,L0059,0.472012174647168
S06208,L0004,0.4681011946752184
S06208,L0058,0.4614605650419036
S06209,L0058,0.49142844922188794
S06209,L0029,0.4730672965640516
S06209,L0002,0.46555313669488646
S06210,L0039,0.19588893340731325
S06210,L0061,0.31980676826554544
S06210,L0012,0.22706747250010548
S06211,L0094,0.5665136262711747
S06211,L0024,0.33934998106688236
S06211,L0035,0.356969811591629
S06212,L0001,0.5683051281090952
S06212,L0035,0.48813388466551366
S06212,L0021,0.47089680475722956
S06213,L0001,0.4817162948348893
S06213,L0049,0.39205612308059634
S06213,L0062,0.5199337639345044
S06214,L0004,0.4569261491344404
S06214,L0095,0.45545199903253997
S06214,L0039,0.3855925516704938
S06215,L0024,0.5180346626727992
S06215,L0031,0.5337891860719147
S06215,L0073,0.5961032662461089
